time:  1 	child:  0 	each play:  [0, 0, 0, 0, 0] 	left time:  [1, 1, 1, 1, 1]
time:  2 	child:  0 	each play:  [0, 0, 0, 0, 0] 	left time:  [2, 2, 2, 2, 2]
time:  3 	child:  0 	each play:  [0, 0, 0, 0, 0] 	left time:  [3, 3, 3, 3, 3]
time:  4 	child:  0 	each play:  [0, 0, 0, 0, 0] 	left time:  [4, 4, 4, 4, 4]
time:  5 	child:  0 	each play:  [0, 0, 0, 0, 0] 	left time:  [5, 5, 5, 5, 5]
time:  6 	child:  0 	each play:  [0, 0, 0, 0, 0] 	left time:  [6, 6, 6, 6, 6]
time:  7 	child:  0 	each play:  [0, 0, 0, 0, 0] 	left time:  [7, 7, 7, 7, 7]
time:  8 	child:  0 	each play:  [0, 0, 0, 0, 0] 	left time:  [8, 8, 8, 8, 8]
time:  9 	child:  1 	each play:  [0, 0, 0, 0, 1] 	left time:  [9, 9, 9, 9, 0]
time:  10 	child:  1 	each play:  [0, 0, 0, 0, 1] 	left time:  [10, 10, 10, 10, 1]
time:  11 	child:  1 	each play:  [0, 0, 0, 0, 1] 	left time:  [11, 11, 11, 11, 2]
time:  12 	child:  1 	each play:  [0, 0, 0, 0, 1] 	left time:  [12, 12, 12, 12, 3]
time:  13 	child:  2 	each play:  [1, 0, 0, 0, 1] 	left time:  [0, 13, 13, 13, 4]
time:  14 	child:  2 	each play:  [1, 0, 0, 0, 1] 	left time:  [1, 14, 14, 14, 5]
time:  15 	child:  2 	each play:  [1, 0, 0, 0, 1] 	left time:  [2, 15, 15, 15, 6]
time:  16 	child:  2 	each play:  [1, 0, 0, 0, 1] 	left time:  [3, 16, 16, 16, 7]
time:  17 	child:  5 	each play:  [1, 1, 1, 1, 1] 	left time:  [4, 0, 0, 0, 8]
time:  18 	child:  6 	each play:  [1, 1, 1, 1, 2] 	left time:  [5, 1, 1, 1, 0]
time:  19 	child:  6 	each play:  [1, 1, 1, 1, 2] 	left time:  [6, 2, 2, 2, 1]
time:  20 	child:  6 	each play:  [1, 1, 1, 1, 2] 	left time:  [7, 3, 3, 3, 2]
time:  21 	child:  6 	each play:  [1, 1, 1, 1, 2] 	left time:  [8, 4, 4, 4, 3]
time:  22 	child:  6 	each play:  [1, 1, 1, 1, 2] 	left time:  [9, 5, 5, 5, 4]
time:  23 	child:  6 	each play:  [1, 1, 1, 1, 2] 	left time:  [10, 6, 6, 6, 5]
time:  24 	child:  6 	each play:  [1, 1, 1, 1, 2] 	left time:  [11, 7, 7, 7, 6]
time:  25 	child:  6 	each play:  [1, 1, 1, 1, 2] 	left time:  [12, 8, 8, 8, 7]
time:  26 	child:  7 	each play:  [2, 1, 1, 1, 2] 	left time:  [0, 9, 9, 9, 8]
time:  27 	child:  8 	each play:  [2, 1, 1, 1, 3] 	left time:  [1, 10, 10, 10, 0]
time:  28 	child:  8 	each play:  [2, 1, 1, 1, 3] 	left time:  [2, 11, 11, 11, 1]
time:  29 	child:  8 	each play:  [2, 1, 1, 1, 3] 	left time:  [3, 12, 12, 12, 2]
time:  30 	child:  8 	each play:  [2, 1, 1, 1, 3] 	left time:  [4, 13, 13, 13, 3]
time:  31 	child:  8 	each play:  [2, 1, 1, 1, 3] 	left time:  [5, 14, 14, 14, 4]
time:  32 	child:  8 	each play:  [2, 1, 1, 1, 3] 	left time:  [6, 15, 15, 15, 5]
time:  33 	child:  8 	each play:  [2, 1, 1, 1, 3] 	left time:  [7, 16, 16, 16, 6]
time:  34 	child:  11 	each play:  [2, 2, 2, 2, 3] 	left time:  [8, 0, 0, 0, 7]
time:  35 	child:  11 	each play:  [2, 2, 2, 2, 3] 	left time:  [9, 1, 1, 1, 8]
time:  36 	child:  12 	each play:  [2, 2, 2, 2, 4] 	left time:  [10, 2, 2, 2, 0]
